backers_count,blurb,country,country_displayable_name,created_at,currency,currency_symbol,currency_trailing_code,current_currency,deadline,disable_communication,friends,fx_rate,goal,id,is_backing,is_starrable,is_starred,launched_at,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,blurb_len,is_successful,is_failed,is_live,create_year,create_month,create_day,launch_year,launch_month,launch_day,deadline_year,deadline_month,deadline_day,state_change_year,state_change_month,state_change_day,backing_days,is_spotlight,is_staff_pick
1,Un cortometraje de protesta contra la violencia en Ciudad Juárez,MX,Mexico,2019-09-23 05:20:38,MXN,$,True,USD,2019-11-23 20:30:45,False,,0.05206476,6000.0,1000688274,,True,,2019-09-24 19:30:45,shorts,18.8,film & video,False,False,live,2019-09-24 19:30:46,0.05147571,0.967743348,domestic,10,0,0,1,2019,9,23,2019,9,24,2019,11,23,2019,9,24,60,0,0
378,2005 sändes första avsnittet av den legendariska serien Rallarsving. Det här är berättelsen om vad som hände Efter Rallarsving.,SE,Sweden,2016-11-18 14:50:32,SEK,kr,True,USD,2016-12-24 11:00:00,False,,0.10228415,290000.0,701011082,,False,,2016-11-21 13:39:33,comedy,507930.0,film & video,True,False,successful,2016-12-24 11:00:00,0.10779205,54750.81596,domestic,19,1,0,0,2016,11,18,2016,11,21,2016,12,24,2016,12,24,32,1,0
314,"A historical fantasy EPIC set in 15-century Africa. Magical swords, dragons, love, betrayal, politics. This story has it all!",US,the United States,2018-07-18 02:24:36,USD,$,True,USD,2018-08-25 01:59:00,False,,1.0,15000.0,738668187,,False,,2018-07-24 12:20:19,animation,20555.0,film & video,True,False,successful,2018-08-25 01:59:00,1.0,20555.0,domestic,19,1,0,0,2018,7,18,2018,7,24,2018,8,25,2018,8,25,31,1,0
1,"Hip Hop album titled ""Deep Off In This Game""",US,the United States,2019-08-07 19:36:01,USD,$,True,USD,2019-11-15 20:40:00,False,,1.0,20000.0,1710400508,,True,,2019-09-21 00:32:02,hip-hop,1.0,music,False,False,live,2019-09-21 00:32:02,1.0,1.0,international,9,0,0,1,2019,8,7,2019,9,21,2019,11,15,2019,9,21,55,0,0
7,"A set of 7 enamel pins inspired by the best, perhaps slightly underrated characters, of The Office!",US,the United States,2018-11-16 01:39:40,USD,$,True,USD,2018-12-01 20:13:22,False,,1.0,127.0,1640045878,,False,,2018-11-16 20:13:22,accessories,129.0,fashion,True,False,successful,2018-12-01 20:13:22,1.0,129.0,domestic,17,1,0,0,2018,11,16,2018,11,16,2018,12,1,2018,12,1,15,1,0
1,Christmas gift for ballerinas and dancers​,US,the United States,2018-10-15 16:23:14,USD,$,True,USD,2019-01-11 20:28:11,False,,1.0,1.0,186513426,,False,,2018-12-12 20:28:11,accessories,1.0,fashion,True,False,successful,2019-01-11 20:28:11,1.0,1.0,domestic,6,1,0,0,2018,10,15,2018,12,12,2019,1,11,2019,1,11,30,1,0
147,"My first ever ""solo"" record. An unfiltered collection of music referencing my deepest and purest infuences",US,the United States,2018-10-06 19:08:21,USD,$,True,USD,2018-11-07 18:26:53,False,,1.0,6000.0,403027307,,False,,2018-10-08 17:26:53,rock,10430.69,music,True,False,successful,2018-11-07 18:26:53,1.0,10430.69,international,16,1,0,0,2018,10,6,2018,10,8,2018,11,7,2018,11,7,30,1,0
1281,"A new asymmetric worker placement strategy game about Civilizations for 1-4 players (14+ years). Develop, Expand, Discover & Interact!",DE,Germany,2019-03-11 11:42:12,EUR,€,False,USD,2019-06-03 14:00:00,False,,1.10775339,15000.0,2142240179,,False,,2019-05-02 13:55:57,tabletop games,89552.0,games,True,False,successful,2019-06-03 14:00:01,1.12194914,100472.7894,international,19,1,0,0,2019,3,11,2019,5,2,2019,6,3,2019,6,3,32,1,0
143,A short documentary about the newly-canonized St Amphilochios of Patmos.,US,the United States,2019-06-11 04:10:05,USD,$,True,USD,2019-09-06 20:00:01,False,,1.0,20000.0,1549234470,,False,,2019-08-07 20:00:01,documentary,26067.0,film & video,True,False,successful,2019-09-06 20:00:02,1.0,26067.0,domestic,10,1,0,0,2019,6,11,2019,8,7,2019,9,6,2019,9,6,30,1,0
1,"I'll go around Michigan taking pictures of things, and send those pictures to backers as rewards. One picture goes to one backer.",US,the United States,2014-08-28 15:02:25,USD,$,True,USD,2014-10-12 15:35:22,False,,1.0,500.0,443199339,,False,,2014-08-28 15:35:22,places,5.0,photography,False,False,failed,2014-10-12 15:35:22,1.0,5.0,domestic,22,0,1,0,2014,8,28,2014,8,28,2014,10,12,2014,10,12,45,0,0
